frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
151, 0, 18.051, 0.98, 1, 62.0, -157.7, 1086.4, 0.291, 0.316, -0.130
152, 0, 18.171, 0.98, 1, 52.2, -164.2, 1091.2, 0.284, 0.338, -0.127
153, 0, 18.291, 0.98, 1, 41.4, -158.3, 1092.3, 0.349, 0.332, -0.155
154, 0, 18.412, 0.98, 1, 22.4, -146.9, 1096.1, 0.370, 0.272, -0.135
155, 0, 18.532, 0.98, 1, 3.5, -130.6, 1081.8, 0.396, 0.244, -0.167
156, 0, 18.652, 0.77, 1, -1.7, -129.0, 1117.3, 0.406, 0.168, -0.194
157, 0, 18.773, 0.98, 1, -33.2, -99.9, 1066.0, 0.401, 0.183, -0.174
158, 0, 18.893, 0.98, 1, -30.2, -117.6, 1060.2, 0.380, 0.182, -0.150
159, 0, 19.013, 0.98, 1, -12.4, -139.9, 1061.9, 0.328, 0.160, -0.130
160, 0, 19.134, 0.98, 1, 16.3, -148.1, 1050.2, 0.334, 0.116, -0.118
161, 0, 19.254, 0.98, 1, 44.9, -145.0, 1051.2, 0.308, 0.116, -0.114
162, 0, 19.374, 0.98, 1, 87.4, -127.2, 1042.0, 0.309, 0.118, -0.130
163, 0, 19.495, 0.98, 1, 110.5, -126.0, 1043.5, 0.265, 0.110, -0.094
164, 0, 19.615, 0.98, 1, 106.3, -154.6, 1071.4, 0.214, 0.110, -0.084
165, 0, 19.735, 0.77, 1, 90.4, -146.1, 979.2, 0.198, 0.129, -0.119
166, 0, 19.856, 0.98, 1, 77.2, -171.3, 1118.4, 0.218, 0.055, -0.060
167, 0, 19.976, 0.77, 1, 69.6, -165.3, 1131.9, 0.322, 0.039, -0.072
168, 0, 20.096, 0.93, 1, 54.0, -184.9, 1130.8, 0.115, 0.038, -0.060
169, 0, 20.217, 0.77, 1, 52.3, -192.6, 1143.1, 0.176, -0.007, -0.057
170, 0, 20.337, 0.98, 1, 48.4, -192.6, 1130.5, 0.127, 0.025, -0.044
171, 0, 20.457, 0.88, 1, 46.7, -184.1, 1143.2, 0.159, 0.013, -0.042
172, 0, 20.578, 0.98, 1, 47.0, -177.8, 1124.9, 0.253, -0.018, -0.045
173, 0, 20.698, 0.98, 1, 49.2, -186.1, 1119.1, 0.117, -0.016, -0.063
174, 0, 20.818, 0.93, 1, 44.7, -196.0, 1119.0, 0.030, -0.022, -0.046
175, 0, 20.939, 0.98, 1, 41.4, -195.0, 1099.8, 0.023, -0.022, -0.056
176, 0, 21.059, 0.82, 1, 41.6, -193.4, 1123.7, -0.017, -0.043, -0.045
177, 0, 21.179, 0.88, 1, 26.7, -169.7, 1153.1, 0.311, 0.038, -0.017
178, 0, 21.300, 0.93, 1, 15.2, -146.0, 1107.4, 0.367, 0.025, -0.042
179, 0, 21.420, 0.98, 1, 21.8, -147.2, 1098.9, 0.321, 0.017, -0.056
180, 0, 21.540, 0.98, 1, 28.9, -171.5, 1091.7, 0.243, 0.032, -0.059
181, 0, 21.661, 0.98, 1, 27.3, -174.5, 1082.0, 0.252, 0.078, -0.057
182, 0, 21.781, 0.88, 1, 31.7, -165.9, 1088.9, 0.255, 0.056, -0.068
183, 0, 21.901, 0.98, 1, 34.2, -157.0, 1059.1, 0.330, -0.004, -0.074
184, 0, 22.022, 0.98, 1, 37.7, -149.6, 1054.1, 0.368, -0.017, -0.089
185, 0, 22.142, 0.98, 1, 48.2, -141.0, 1046.3, 0.417, 0.005, -0.090
186, 0, 22.262, 0.98, 1, 58.9, -133.0, 1050.6, 0.528, -0.012, -0.072
187, 0, 22.383, 0.98, 1, 86.0, -113.6, 1039.8, 0.367, 0.096, -0.144
188, 0, 22.503, 0.98, 1, 85.6, -105.8, 1031.7, 0.514, 0.184, -0.200
189, 0, 22.623, 0.98, 1, 73.9, -102.7, 1010.2, 0.523, 0.198, -0.230
190, 0, 22.744, 0.98, 1, 67.7, -101.4, 1013.7, 0.527, 0.189, -0.251
191, 0, 22.864, 0.98, 1, 73.8, -98.5, 1026.4, 0.618, 0.160, -0.262
192, 0, 22.984, 0.03, 0, 75.5, -96.3, 1028.3, 0.648, 0.193, -0.225
193, 0, 23.105, 0.98, 1, 66.5, -87.0, 1012.6, 0.612, 0.236, -0.281
194, 0, 23.225, 0.98, 1, 64.7, -85.2, 1006.0, 0.572, 0.252, -0.251
195, 0, 23.345, 0.03, 0, 65.4, -85.0, 996.9, 0.522, 0.316, -0.309
196, 0, 23.466, 0.88, 1, 63.9, -100.4, 1007.9, 0.483, 0.261, -0.256
197, 0, 23.586, 0.98, 1, 58.2, -126.5, 1064.3, 0.443, 0.237, -0.151
198, 0, 23.706, 0.98, 1, 58.1, -136.2, 1089.1, 0.364, 0.252, -0.130
199, 0, 23.827, 0.98, 1, 63.0, -133.1, 1091.9, 0.391, 0.189, -0.146
200, 0, 23.947, 0.93, 1, 67.9, -121.8, 1087.2, 0.481, 0.179, -0.178
201, 0, 24.067, 0.98, 1, 60.8, -115.9, 1074.7, 0.513, 0.205, -0.201
202, 0, 24.188, 0.88, 1, 50.1, -105.2, 1052.6, 0.553, 0.233, -0.235
203, 0, 24.308, 0.98, 1, 50.9, -98.5, 1048.3, 0.557, 0.218, -0.231
204, 0, 24.428, 0.93, 1, 56.5, -90.5, 1038.9, 0.614, 0.189, -0.231
205, 0, 24.549, 0.03, 0, 57.7, -90.6, 1039.8, 0.593, 0.196, -0.233
206, 0, 24.669, 0.03, 0, 60.0, -94.0, 1020.0, 0.600, 0.147, -0.270
207, 0, 24.789, 0.88, 1, 56.7, -133.1, 1088.1, 0.378, 0.174, -0.147
208, 0, 24.910, 0.98, 1, 64.1, -156.8, 1103.2, 0.303, 0.135, -0.121
209, 0, 25.030, 0.88, 1, 75.3, -160.3, 1118.4, 0.317, 0.145, -0.130
210, 0, 25.150, 0.88, 1, 85.3, -160.8, 1167.9, 0.400, 0.053, -0.112
211, 0, 25.271, 0.88, 1, 87.4, -154.1, 1157.2, 0.416, 0.029, -0.099
212, 0, 25.391, 0.93, 1, 90.6, -162.9, 1118.1, 0.269, 0.003, -0.106
213, 0, 25.511, 0.98, 1, 91.6, -187.8, 1139.6, 0.144, 0.002, -0.076
214, 0, 25.632, 0.88, 1, 87.8, -184.5, 1088.1, 0.121, -0.019, -0.048
215, 0, 25.752, 0.88, 1, 85.6, -188.7, 1083.9, 0.039, -0.054, -0.022
216, 0, 25.872, 0.98, 1, 83.7, -193.8, 1134.2, 0.135, -0.069, -0.010
217, 0, 25.993, 0.98, 1, 82.9, -197.9, 1150.8, 0.085, -0.057, -0.008
218, 0, 26.113, 0.98, 1, 82.8, -196.6, 1142.2, 0.137, -0.123, -0.011
